	M13.2.11.CCs_UT16A	M13.2.11.CCs_UT24A	M13.2.11.CSCs_UT16A	M13.2.11.CSCs_UT24A	M2.2.13.CCs_Hep3B	M2.2.13.CCs_Huh7	M2.2.13.CSCs_Hep3B	M2.2.13.CSCs_Huh7	M8.2.3.CCs_1	M8.2.3.CCs_2	M8.2.3.CCs_3	M8.2.3.CSCs_1	M8.2.3.CSCs_2	M8.2.3.CSCs_3	M9.1.4.CCs_2	M9.1.4.CSCs_2_CXCR4+MET+CD44+	R1.1.1.CCs_3	R1.1.1.CSCs_3	R11.1.4.CCs_ChaGoK1	R11.1.4.CSCs_ChaGoK1	R5.8.2.TN.CCs_HCC1937	R5.8.2.TN.CSCs_HCC1937
HMR_4372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4373	-1000.0	-1000.0	-0.002405165179837268	-1000.0	-252.46284645311232	-1000.0	-849.1520393439334	-1000.0	-1000.0	-1000.0	-1000.0	-803.3308170836799	-356.23185816124595	-1000.0	-1000.0	-1000.0	-0.010384498053980394	-0.009781543279238934	-1000.0	-0.01066498968761753	-1000.0	-0.0024037010825629975
HMR_4375	-545.7419467572838	-545.8210794458337	-27.121646307102086	-545.834483966968	0.007861423854791787	-400.4281777115395	0.013998036993469727	-537.5093723757432	-543.710038673151	-536.8526082469424	-544.3987615190997	0.01825004783601234	-142.63234311387063	-546.0530635745487	-545.7817453583624	-636.1423592275141	-79.93873578457719	-24.53722526318303	-541.5349396993267	-27.983002597726124	0.01884557655015083	-26.10165553616736
HMR_4377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4381	-726.5423473698808	-726.765917166239	-134.31837573800215	-726.7775594403718	-336.417944747031	0.0	383.68479661142857	0.0	0.0	0.0	0.0	-391.6958614416133	0.0	0.0	-726.6425969322154	-636.3204308460943	-80.04348869937307	-121.4671214625559	-705.7062052885664	-137.07559645114154	3.5460664752332187	0.0
HMR_4391	544.5716160486527	544.5643844759738	26.427756117186977	544.6627445283602	420.6568999882546	399.2721551381251	657.3270201466187	536.5502374426304	542.5297183052929	535.9097157340067	543.2613865112988	999.1439366145999	142.2715216073315	544.8730676435138	544.6108126955611	635.0381102895997	79.25114578805584	23.889558782397522	540.4722493030848	26.521683385610228	998.1912029977939	25.408187738337503
HMR_4394	744.6115685983223	746.1321401799689	164.343860230339	746.5587834478476	86.48930740818501	0.0	1000.0	24.2130755637624	16.96962382414594	0.0	0.0	0.0	298.3092291593986	2.834972096130666	744.7643446954296	655.8341325907818	124.81172237552505	179.04768536823087	252.97562794689526	137.81268039951073	0.0	36.26314848293499
HMR_4396	-19.30945098115245	-19.53496155486463	-30.018784389335877	-19.769909861458146	-0.7589932016455072	-16.846842787762625	-65.66561120208405	-24.203814296004058	-2.4822945427617773	-1.9833878920691947	-13.252177397614474	-1.761978808727267	-0.7589932017182415	-2.4816122298903283	-19.41064337600494	-19.502391006699554	-44.76159440690435	-52.88547510132281	-2.235384453701855	-1.4854223383229055	-62.50810598201299	-30.23556646411128
HMR_4521	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_6410	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6249303864586864	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
