Ensembl	Entrez	Symbol	CCs_1	CCs_2	CCs_3	CCs_4	CSCs_1	CSCs_2	CSCs_3	CSCs_4
ENSG00000149100	10480	EIF3M	14.3467112023948	13.794870351341	14.4002066228668	14.4158103554117	14.7361264885457	14.3040376468717	14.1436503923897	14.5881862091481
ENSG00000149115	85456	TNKS1BP1	9.3963067362025	8.70304711986589	8.48127743596452	9.55117326063931	9.444825518172	8.30120630734882	8.42663770984384	8.63530394806352
ENSG00000149124	10249	GLYAT	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000149131	710	SERPING1	6.83030074325913	6.05700858566191	5.72230800277747	6.82385526534075	6.99931346556901	6.89231447421324	6.0980232493152	6.54612812654549
ENSG00000149133	338674	OR5F1	6.27452408373116	5.53843201049256	5.81798337828702	5.90933101642173	6.1955263518726	5.65217325954213	5.96090736231091	5.7032552221768
ENSG00000149136	6749	SSRP1	14.7620531008051	14.6408296459342	15.4792584991739	14.9154056638103	15.1458839602167	15.2801695490047	15.4783166235114	15.168112925498
ENSG00000149177	5795	PTPRJ	8.94649760366453	8.16227370038481	9.29631452490492	8.44046821024232	7.88971416270359	8.04252134641477	8.45919181345223	8.27291677913723
ENSG00000149179	79096	C11orf49	8.46647672594103	9.41764378432199	9.55639484680636	8.46372181482299	9.21607597506877	10.025982563407	9.86442949232592	9.13782945543529
ENSG00000149182	84364	ARFGAP2	12.1739652011961	11.9830050112819	12.1934634072778	12.0088933022773	12.1284642929198	12.070885963114	12.2710991629695	11.9977220024523
ENSG00000149187	10658	CELF1	10.9794307904186	10.5753398273925	10.7498498060572	11.0108831974347	11.0213107767151	10.4947384346364	10.946797797938	11.2877709980238
ENSG00000149196	51501	HIKESHI	12.6707478706513	11.7192985770054	12.330043724675	12.9732783571795	13.2395950358912	12.8261962273234	12.4290572929307	13.4449228737333
ENSG00000149201	60494	CCDC81	4.74525509078633	5.74924141212774	5.57293755961942	4.09605772722553	4.62433957709319	5.59175660369684	5.27525220058764	5.10492704326985
ENSG00000149212	143686	SESN3	7.29727470429208	6.1145560984699	8.08700704809207	7.20556435593387	8.13607000524672	8.16463208538595	7.56254070408735	8.67829759082592
ENSG00000149218	23052	ENDOD1	10.5864660084942	10.2731126397852	11.252707015844	10.4739356089746	9.6359023312765	9.99171007876902	11.4592595096794	9.78290868067476
ENSG00000149231	79780	CCDC82	11.0123681200783	10.352327996246	9.20756732085032	10.719689633543	10.2953833380124	9.31353855234456	8.77656160305065	11.0663888214598
ENSG00000149243	283212	KLHL35	10.2449305496875	9.52087956014403	11.4451644272397	10.3799621290133	10.0685788930749	10.9055574256315	11.6430564356328	10.2272116916889
ENSG00000149256	26011	TENM4	NA	NA	NA	NA	NA	NA	NA	NA
ENSG00000149257	871	SERPINH1	12.503711241924	13.8715601197558	13.9278105093874	14.2905707047503	13.5787679370874	14.1010504364882	13.7554784936804	14.6549161181065
ENSG00000149260	726	CAPN5	6.93856903460398	10.3001112292507	9.19331363504757	7.38188102684978	6.90058403786822	11.3787224416791	10.7164510942955	7.39265298329253
ENSG00000149262	92105	INTS4	9.40240686521183	8.17021453551319	8.08662034108619	9.09177667603064	9.33399650862643	8.17739436670631	7.88674404256413	9.26031572584554
ENSG00000149269	5058	PAK1	8.52865153980636	8.26055725340219	7.78278926941926	8.63222798841609	8.40085957367308	8.1270709075566	8.1096487106017	8.46965434315958
ENSG00000149273	6188	RPS3	11.4980635466496	12.0428558106685	10.0046061807272	11.4111927788644	11.2028913097762	11.7551091043709	10.139643388848	10.3227471447347
