Ensembl	Entrez	Symbol	CCs_Hep3B	CCs_Huh7	CCs_PLC-PRF-5	CSCs_Hep3B	CSCs_Huh7	CSCs_PLC-PRF-5
ENSG00000089101	26074	CFAP61	4.31793087827235	4.29593804302844	4.34593726656839	4.6787829151719	4.44846538797752	4.24320914736276
ENSG00000089116	64211	LHX5	3.71917729923851	3.96938503252355	3.81787263164949	3.3845291895021	3.73612264711567	4.0848377330209
ENSG00000089123	55617	TASP1	6.1981451698452	6.782632695386	6.40286503244766	6.24161875335897	6.60900267454542	6.25977921767404
ENSG00000089127	4938	OAS1	4.19427218285311	5.49389309564705	5.67021159712334	3.99814576442148	6.03571071636434	5.64712390601772
ENSG00000089154	10985	GCN1	8.81528536513214	8.61178561034011	8.70887174766344	8.74158278828975	8.60726558387906	8.70965914828373
ENSG00000089157	6175	RPLP0	6.30046974187458	6.65655678161149	6.50675300939473	6.43730837641708	6.63007406929002	6.37610320929458
ENSG00000089159	5829	PXN	6.72668541903698	6.20206157384203	6.07094105945386	6.24903944205715	6.1933573675463	6.01273315159327
ENSG00000089163	23409	SIRT4	4.35788147414345	3.94619348343186	3.80689323684635	4.07134702816937	3.94321095821145	3.70848564444951
ENSG00000089169	22895	RPH3A	3.28541632062598	3.27521498487276	3.33714236137361	3.74848446042034	3.33884594263935	3.4635120485164
ENSG00000089177	55614	KIF16B	5.50248008809961	6.75433053259553	6.73063339555339	5.52161467436767	6.81676345431454	6.85682169175379
ENSG00000089195	51605	TRMT6	7.68897500046025	8.50977810654917	8.31554922783635	7.74812628585561	8.52343120985404	8.14142807454559
ENSG00000089199	1114	CHGB	4.07456561928509	4.17925722939758	6.13671508178612	3.68379718130139	4.39838601650162	4.09058673992024
ENSG00000089220	5037	PEBP1	10.0955313654645	10.2247695556406	9.60572259732147	9.77895116534352	10.0734530668797	9.49467956456727
ENSG00000089225	6910	TBX5	3.30703327718935	3.42681506436961	3.70336384867891	3.96549460809273	3.65232014705148	3.48799575129854
ENSG00000089234	8315	BRAP	7.73793597419977	7.92328354709234	7.27568640485573	7.42043781470645	7.98553728998252	7.20155717623618
ENSG00000089248	10961	ERP29	6.82041462192072	7.06961261361122	6.58840925493401	6.65436426981783	6.99338265808176	6.72681249825419
ENSG00000089250	4842	NOS1	4.50079044629776	4.67949495775192	4.97353185832062	4.92591108763655	4.67149781128166	4.46546723602998
ENSG00000089280	2521	FUS	8.55079687988679	8.67004001679066	8.38552627349741	8.71452645743347	8.75183304649553	8.20302501868749
ENSG00000089289	3476	IGBP1	6.01345110561176	6.29267065720433	6.48225580131974	6.16052007316241	6.24719719784194	6.35509117887583
ENSG00000089327	53827	FXYD5	4.52424710481546	4.48151484395556	4.59790626042592	4.80748851902059	4.36306745053312	4.41766627678083
ENSG00000089335	55900	ZNF302	5.7890673869081	5.49042517593854	3.06483376660175	5.03786387480743	5.46143623857214	2.84807148033501
ENSG00000089351	57655	GRAMD1A	8.05358754888469	7.77681230986176	8.48813912538987	8.05713194334899	7.87432204149323	8.60675480483642
ENSG00000089356	5349	FXYD3	3.75167652892479	3.88050074145434	4.62927900175387	3.77737340368677	3.83951856827072	4.88382291654393
ENSG00000089472	9843	HEPH	3.64790349559119	4.0664983062425	3.5539067233495	3.98811934147098	4.92952548639699	3.53709246670502
ENSG00000089486	29965	CDIP1	6.1712481990814	6.4260614739794	6.35710261003779	5.85669145434438	6.3649003227369	6.62196456889293
ENSG00000089558	23415	KCNH4	4.45907208165148	4.6076627773885	4.72439910054403	4.58854558499847	4.41343111461454	4.52107403900979
ENSG00000089597	23193	GANAB	9.7947568618147	10.3618150884899	10.0237304361643	9.76348682708785	10.3776683347947	10.003851942703
ENSG00000089639	51291	GMIP	5.85990721961329	5.86101079926512	5.61617044200403	6.02488757432592	5.8562822054252	5.52864927470217
ENSG00000089682	55285	RBM41	5.66257490832653	5.813446327559	6.52174500979201	5.30816879338013	6.18145106067352	6.68401062694247
ENSG00000089685	332	BIRC5	6.86248733861008	6.90115220553406	6.87580615161519	7.49091331119291	6.98188793902474	7.00405150588311
ENSG00000089692	3902	LAG3	5.27687498051342	5.11003140601896	4.87588755900358	4.99476479986967	4.99846808235431	4.8349375296285
ENSG00000089693	8079	MLF2	6.1748439409715	6.57723255913966	6.4263818490335	5.96311617338239	6.2711617347606	6.4588170665909
ENSG00000089723	78990	OTUB2	5.57134701218844	5.12648869897507	5.85196862894748	5.29233908677674	4.88766637362944	5.67124998280524
ENSG00000089737	57062	DDX24	8.35349510960473	8.11029063338415	8.48408827210329	8.38448846761306	8.07447856217976	8.45133278723912
ENSG00000089775	7597	ZBTB25	5.37332718979276	5.35043455874093	6.24620224981373	5.18378602080092	5.6860038167352	6.12060446254825
ENSG00000089818	25977	NECAP1	6.19132741044738	6.86627531541527	6.86230512500862	5.81049241172356	6.81433510962877	7.0138819118896
ENSG00000089820	393	ARHGAP4	6.51402019758484	5.23046134157147	5.44345902791905	6.35496493489945	5.42080657203613	5.3080345831817
ENSG00000089847	170961	ANKRD24	4.05162476249783	4.2144129318607	4.07976972818285	4.52357483031127	4.19820274500292	4.13998827966174
ENSG00000089876	55760	DHX32	7.69501517064599	6.80502774476057	8.20869234606505	7.81261137385202	6.93132509967916	7.97571559059874
ENSG00000089902	23186	RCOR1	7.66291486284326	8.08170791320657	8.01618836974891	7.8451403921107	8.12799266471284	8.01247115388093
ENSG00000089916	55668	GPATCH2L	5.74301105080777	5.78460009721353	5.3954551126798	5.70151385197996	5.75459127546677	5.29003261925365
ENSG00000090006	8425	LTBP4	4.97915922125885	4.92612450972101	6.21045025253617	5.27428371385964	4.86918755561087	6.38147153731263
ENSG00000090013	645	BLVRB	7.45532454035931	7.6405840783981	7.9543202184057	7.63214050610358	7.61161932026241	8.0639964000474
ENSG00000090020	6548	SLC9A1	6.25506885970652	5.64308966257781	6.23076804308659	6.38246964784265	5.77752244537774	6.22253855802905
ENSG00000090054	10558	SPTLC1	7.69266268121783	7.61770076728564	7.63502614277272	7.60106118233374	7.71310057437347	7.67241859241681
ENSG00000090060	10914	PAPOLA	6.72246216632283	7.03256841374065	7.17074477230764	6.4514376435545	6.89581948012858	6.9443556179101
ENSG00000090061	8812	CCNK	7.01691058665416	7.17302171629771	7.3287725338588	7.09157490570481	7.07750238259158	7.40531177917401
ENSG00000090097	57060	PCBP4	7.40262256105265	6.48293353760383	7.27991663492843	7.55287753720307	6.34730974894409	7.6571898604795
ENSG00000090104	5996	RGS1	1.99743632797752	2.08071929066056	1.72858881910373	1.69978657611566	2.00426077565279	2.16505764651463
ENSG00000090238	83719	YPEL3	6.32913594328066	5.73193931507099	5.18124333209759	6.53178186425386	5.74062594638406	4.55561373223491
ENSG00000090263	51650	MRPS33	5.24776132025565	5.97007086144472	5.50653707923196	5.10075135585021	5.65816291972871	5.57504198913862
ENSG00000090266	4708	NDUFB2	3.9719317469116	3.5852310108415	4.12994886392164	3.66378801017029	3.65470747244978	4.0394265587192
ENSG00000090273	10726	NUDC	7.92406318076561	8.09229379898057	8.37192022034378	7.91249432633717	8.00756244430567	8.42907931319083
ENSG00000090316	10296	MAEA	6.44199692960323	6.4397108326084	5.74583905382545	6.58505853911288	6.49663574761399	5.65028927183443
ENSG00000090339	3383	ICAM1	8.52903552851274	7.48062242628856	9.75041720753258	8.52132941727552	7.59893302684082	9.84136991664976
ENSG00000090372	29888	STRN4	8.20591910858894	7.79281522047086	8.28652217319221	8.17180569978728	7.85705675830919	8.49894400838693
ENSG00000090376	11213	IRAK3	2.33190362367234	2.66388085753692	2.2630790743309	2.06845678461946	2.84189636369236	2.44074454998209
ENSG00000090382	4069	LYZ	7.44745725620769	9.5789139104305	8.67052548919089	7.78842586872315	9.44824844062027	7.9535993069469
ENSG00000090402	6476	SI	2.50922284063771	4.15310549952118	2.41592596470628	2.21060110063591	6.79938346697621	2.31376645437721
ENSG00000090432	79594	MUL1	6.4677659416378	6.72031003634754	6.93733809994338	6.58282077242101	6.57032530590432	7.06186002866247
ENSG00000090447	7023	TFAP4	6.2503882998112	6.60425834470242	6.12041837940675	6.29001218465655	6.36716952228941	6.20003834908935
ENSG00000090470	10081	PDCD7	6.1555333628735	6.6307527400471	6.5072535753977	6.13014089885766	6.31804675069997	6.75061005740643
ENSG00000090487	51324	SPG21	7.40629963189956	6.6916122517782	8.03630968843068	7.24790234356886	6.78163488860964	8.05599723298202
ENSG00000090512	26998	FETUB	5.20163736043956	5.32951247267689	4.5143728500832	4.93014351389023	4.84665250181631	4.17323079536809
ENSG00000090520	51726	DNAJB11	8.31002801490211	8.23020348771362	7.71044277126221	8.4890255711485	8.33328786535743	7.75518056712994
ENSG00000090530	55214	P3H2	5.71910945123964	5.79345671557206	4.20916019692707	6.16605406298842	6.7568773375109	4.12780395250556
ENSG00000090534	7066	THPO	5.63618574378062	5.26407583236162	5.65461275239579	5.22540488693516	5.31668302156829	5.98560526075425
ENSG00000090539	8646	CHRD	5.14534839243867	5.17305486567305	5.67826776815396	5.23654817022721	4.92669582331045	5.91669172773115
ENSG00000090554	2323	FLT3LG	5.67693833997056	5.24747418328106	5.75018607936942	5.93830904314868	5.68112486717859	5.79364233651241
ENSG00000090565	9727	RAB11FIP3	5.10831809024481	5.46006095672218	5.45973189632338	5.38256421860326	5.54955276052205	5.50212711636072
ENSG00000090581	84572	GNPTG	7.00586196166012	6.47047253816597	6.57775154528372	6.92105227143081	6.63120276098833	6.71804275042303
ENSG00000090612	10795	ZNF268	5.67133719448381	5.60182984978537	5.32547265230455	5.69410850717025	5.72520809853035	4.82642661822094
ENSG00000090615	2802	GOLGA3	6.86057085877715	7.27913217826683	7.27973938537396	6.87082039847015	7.18305713536126	7.25657753932194
ENSG00000090621	8761	PABPC4	7.24273072046115	7.77544114991538	7.61850015263754	6.94184064449164	7.88081824755362	7.75369319339589
ENSG00000090659	30835	CD209	5.05526361376246	5.00081324805824	5.67762880669227	5.59482530756886	5.6536093112282	5.28758164618902
ENSG00000090661	79603	CERS4	6.81602850648232	6.15603348044044	5.3082309863214	6.52354725898605	6.05740958710675	4.94415582160523
ENSG00000090674	57192	MCOLN1	7.97088344310606	8.01657878142575	8.12615548506019	8.04161035096949	8.22865398679583	8.09357356767496
ENSG00000090686	84196	USP48	6.21148597424575	5.96392372909766	6.50270366905128	6.05040946961248	6.33117563211428	6.71156294303891
ENSG00000090776	1947	EFNB1	5.76261170845339	5.13944841178897	6.03738039465673	5.64741338073554	5.20060368018144	5.97414552204535
ENSG00000090857	55066	PDPR	6.16755175612644	7.07674758220776	5.64205465892358	6.30158820952025	6.96020482749641	5.53862772579036
ENSG00000090861	16	AARS	9.53625351550862	10.1551531445964	9.9438079358553	9.44332209741799	10.1980282015537	9.86757961283845
ENSG00000090863	2734	GLG1	8.58456483519372	9.13043971103705	9.28284583637931	8.66751007386779	9.1715446673152	9.10198940356183
ENSG00000090889	24137	KIF4A	7.2469805879613	7.6945988353974	8.06990740489354	7.80841534587262	8.13178416876098	8.18570175784295
ENSG00000090905	27327	TNRC6A	7.50528014622709	7.06677750577439	7.07592088354645	7.56293278846408	7.22284023091939	6.90908109388839
ENSG00000090924	64857	PLEKHG2	6.9043807689576	5.64775537384652	6.41480664814179	6.77445068474115	6.07180023647102	6.58918690433702
ENSG00000090932	10683	DLL3	3.96652029745445	4.11207876929831	5.15965501290406	4.22843324991377	3.79308003562049	4.82983459561131
ENSG00000090971	57106	NAT14	6.4998470634842	6.31647426012661	6.50619426206116	6.52645821567914	5.967678653219	6.63703308150981
ENSG00000090975	57605	PITPNM2	4.81582714291024	4.85431957290666	4.71311041122764	4.90766891808104	4.60153931378161	4.81880362530401
ENSG00000090989	55763	EXOC1	7.53056610593427	6.95770431439613	6.65278753972009	7.41925858758911	6.65945755213239	6.61320107537035
ENSG00000091009	54439	RBM27	7.01400847973768	7.15090815926428	7.40006638887543	6.83218813936706	7.12175637384976	7.37327042328098
ENSG00000091010	5459	POU4F3	5.32761020215358	5.62383293377667	4.86124455935872	5.12569509705285	5.26185093847813	4.88503282126134
ENSG00000091039	114882	OSBPL8	7.75193425280501	7.99251942723426	7.9728044596253	7.48600681331777	8.13361273181439	7.94789987742499
ENSG00000091073	113878	DTX2	5.49630350922731	5.92830725881839	5.63099585593951	5.51185298981076	5.73138794608491	5.40786428189406
ENSG00000091106	58484	NLRC4	3.03136430713688	2.95051666794224	3.09799872743478	3.24402994681454	2.81874556763637	2.84356807816622
ENSG00000091127	54517	PUS7	6.83499852686581	7.55123605967573	7.78537009628146	6.02893790088893	7.21280205202885	7.68749077775571
ENSG00000091128	22798	LAMB4	4.31157714771351	4.54023462350331	4.29815323026788	4.70576062227835	4.67540404939568	4.03740822109473
ENSG00000091129	4897	NRCAM	6.22780222551225	7.28056283404858	5.49792373068359	6.30306659485043	7.79259292655983	5.97845473931514
ENSG00000091136	3912	LAMB1	8.55392724454047	9.25730320466357	8.99287425933227	8.75085348132394	9.51820875044249	8.92473013247197
ENSG00000091137	5172	SLC26A4	3.41650971116783	3.2277741536179	3.48580040678093	3.26996491118866	3.28662982930813	3.74882796880523
ENSG00000091138	1811	SLC26A3	4.30791877056381	6.15292255760326	3.66932258696583	4.33686742060476	7.81594325880047	3.50511443951373
ENSG00000091140	1738	DLD	7.00615406531053	7.4760283625693	7.72008742992325	6.3989254491371	7.43848079953487	7.76620067549868
ENSG00000091157	23335	WDR7	6.66837367414887	6.81676064124873	7.32602747522656	6.85165129338154	6.98941234995788	7.16302696209053
ENSG00000091164	9352	TXNL1	7.82426677894922	8.41807390280918	8.40111734150417	7.9856418046269	8.43658087826096	8.36407934066408
ENSG00000091181	3568	IL5RA	2.80282972726095	2.92165999972156	3.29864117675153	3.03862610762851	3.04501295138146	2.84631367789266
ENSG00000091262	368	ABCC6	7.69871188517214	7.7069667838582	6.75815099929153	7.43005919801324	7.34979385208083	6.66729695853456
ENSG00000091317	54918	CMTM6	6.50195208097662	8.45158501386969	7.24281151420604	5.97485761614512	8.15922345547377	7.32735847071546
ENSG00000091409	3655	ITGA6	7.96897361354324	8.71034245743224	5.44940877250692	8.06958691115131	8.81391715327191	5.45718938664719
ENSG00000091428	11069	RAPGEF4	5.38914717692373	4.6181781199079	4.68985182556336	5.03999365837403	4.400678904257	4.55416722249263
ENSG00000091436	51776	MAP3K20	6.58888738534802	6.85549600917113	7.33863988352638	6.57001365058964	7.38624555311485	7.38740367064395
ENSG00000091482	23676	SMPX	2.10146629996689	2.37383135102534	1.92751141695143	2.36788939956608	2.27597323656788	2.14274496016873
ENSG00000091483	2271	FH	7.98271281582434	7.9503154456852	7.71699212059045	7.63299573348711	7.914962261383	7.79709233460346
ENSG00000091490	23231	SEL1L3	8.76875264207202	8.14847446999963	4.18349739205945	9.09569006588494	8.90120196172009	4.29608700644198
ENSG00000091513	7018	TF	11.8295687005805	11.7884410805398	10.1968586947775	11.6128141376519	11.6880317346807	10.0562192608038
ENSG00000091527	55573	CDV3	9.34853568136831	9.5419029248056	8.81705227755581	9.1846703124008	9.51667223323947	8.86612945485403
ENSG00000091536	51168	MYO15A	4.81183409160058	4.62284510873783	4.6550864916379	4.9320905985407	4.6932955810799	4.49464588028899
ENSG00000091542	54890	ALKBH5	7.79469650854038	7.94074044542826	7.47306671786453	7.63447110380498	7.9048370165469	7.57334234871473
ENSG00000091583	350	APOH	11.1670105455064	10.1824925200265	7.82640844631401	10.7297008269778	9.83691345508022	7.53474977105065
ENSG00000091592	22861	NLRP1	5.73308433910954	7.29362414910308	4.38465554643929	5.97861185781915	7.36612158907276	4.26914367581295
ENSG00000091622	83394	PITPNM3	5.11030139783775	4.76125011495863	4.93305070153485	5.52347639715519	4.68616237798911	4.48157324969053
ENSG00000091640	9552	SPAG7	6.85470404065031	6.5039958561626	6.74348736390376	6.66394719668246	6.66239941996856	6.45177320871564
ENSG00000091651	23594	ORC6	5.76851867112186	6.38405150843515	6.19696333444436	5.85244793824951	6.77690033599868	6.47669562568437
ENSG00000091656	79776	ZFHX4	6.13200102120824	4.99455603724841	3.98915236686967	6.18066310356664	5.08022901223143	4.26856140916947
ENSG00000091664	57084	SLC17A6	3.96540588534113	3.76356536737096	4.01992228084026	4.05986900286535	3.98614880243112	4.01970833682783
ENSG00000091704	1357	CPA1	4.33387145554377	4.63597690631198	4.53075631577039	4.99811602426517	4.91281629719019	4.63848353633713
ENSG00000091732	51530	ZC3HC1	6.2812094580251	7.00015081596842	6.35002793664781	6.0555749634537	6.90366858387341	6.33224010326092
ENSG00000091831	2099	ESR1	3.87749532982609	3.95605964912525	4.30349454895198	4.0575172846344	4.00202057625003	3.68174623128073
ENSG00000091844	26575	RGS17	4.22361165544779	4.24435819940432	4.43845117100446	4.34965284156976	4.01817352849912	4.33367539323928
ENSG00000091879	285	ANGPT2	4.3720208592973	3.96675577218458	4.48952228237485	4.00002030684749	3.81674979246447	4.906994054748
ENSG00000091947	84336	TMEM101	5.68085402861409	5.50887349285796	5.46673065075423	5.80277746731798	5.33443155959542	5.46295166883582
ENSG00000091972	4345	CD200	2.9883561155429	2.80632106321447	2.5882674721651	2.52484453903249	2.86741611175121	2.54500513842918
ENSG00000091986	151887	CCDC80	4.45960208379749	4.08377709169097	3.453063047819	4.87715432565674	4.83054117875697	3.49589486488742
ENSG00000092009	1215	CMA1	3.94921655341086	3.72476008042145	3.84904660211254	4.34573131764114	3.76850587509552	3.94047073589945
ENSG00000092010	5720	PSME1	7.66919865670298	8.16997458004903	7.85200162823912	7.59269640597637	8.00358334681958	7.92820831955251
ENSG00000092020	55012	PPP2R3C	5.84775577965855	5.8261754880565	5.79703015084521	5.83809317867382	5.4643308767532	5.9328475712449
