Ensembl	Entrez	Symbol	CCs_UT14	CCs_UT16A	CCs_UT24A	CCs_UT30	CCs_UT33	CSCs_UT14	CSCs_UT16A	CSCs_UT24A	CSCs_UT30	CSCs_UT33
ENSG00000163395	91156	IGFN1	5.55112590614575	5.77990757809839	5.85892470067752	5.82003877266577	6.52731122505488	5.61176370225717	5.49107460764356	5.76363812524192	5.53183405571531	6.29020483303024
ENSG00000163399	476	ATP1A1	11.3175069909156	11.4710970999469	10.9422498143662	10.4055000697816	10.5567672113265	11.3780609908527	11.3448179008188	10.922643336353	10.7003665677024	10.6870068556237
ENSG00000163406	6565	SLC15A2	5.54908805181585	8.20894054547897	5.43882671372909	5.55796039677733	6.44838828260137	5.36048816715054	7.53412167476109	5.48789137782756	6.03467570678707	6.12831513156299
ENSG00000163412	317649	EIF4E3	6.0165986273295	5.38117933076133	5.64558488757179	5.59509087906904	5.44784083744148	6.20835296787441	5.75621264430556	6.10392191300129	5.52488456030663	5.81085249486218
ENSG00000163421	60675	PROK2	6.23889001727638	6.0887782291059	6.08828997120001	6.35701583894501	6.37264158254342	6.05753389052385	6.03533936262002	5.95392167381067	5.95462354047776	6.18370684546426
ENSG00000163424	152405	TEX55	2.51945942080115	2.32765109516823	2.31199924909534	2.50217464883714	2.26159752491189	2.14397913213985	2.78327094565987	2.82390215784293	2.89871475511525	2.10784867468723
ENSG00000163431	25802	LMOD1	5.18711378181907	4.73730746733113	4.85221106524024	5.11496596634743	5.29054637257086	4.76760347188297	4.66782677240976	5.10044279418722	4.83508385155069	4.8796909894489
ENSG00000163435	1999	ELF3	5.28205815871115	5.76119991003448	6.18173590969191	6.25721512305155	6.19277324089646	5.11397564837624	5.72588513245463	5.51141304407379	5.91797332159905	5.54112763407232
ENSG00000163440	132954	PDCL2	2.79482401123893	3.31474551177961	3.30347477360551	3.10931699447119	3.0633972438983	3.0489628244689	3.15108061056873	3.48546997548022	3.44450530603892	3.3683511352742
ENSG00000163444	92703	TMEM183A	6.03278510628885	5.81962402279201	6.21772966823901	5.94778707897848	5.4470841920712	6.69680863928299	6.02989031011594	6.18295760602851	6.23007142050632	6.20725766933495
ENSG00000163449	92691	TMEM169	4.65680778093536	4.90749173805547	4.85530168863895	4.52919209351445	5.1240275141379	4.67905362119437	4.38768433745602	4.85698058354958	4.72397188435767	4.43041163645008
ENSG00000163453	3490	IGFBP7	11.3102476836062	10.6130504460352	11.2455872393551	10.0420957943043	10.721464642734	11.4394205830421	10.4200635005951	11.3052055494902	10.4281554574115	10.8249691695216
ENSG00000163462	80128	TRIM46	6.8754763193537	6.57116464305517	6.71749760175746	6.56709774924498	7.18755854504666	6.72215637680838	6.39412117355773	6.89453367043377	6.52962790960649	6.84497297849012
ENSG00000163463	200185	KRTCAP2	9.4624274328367	8.95553281723877	8.36036826052372	8.94467754560825	8.721796121654	9.34286510779913	8.45213649843082	8.26923379178785	8.95854617569178	8.42228631693954
ENSG00000163464	3577	CXCR1	3.74765019306505	4.34948233981138	4.60498304200413	4.25199239990383	4.7609818906252	4.15859295997743	4.37966059571268	4.3459248550864	4.17458348324137	4.16584347769961
ENSG00000163466	10109	ARPC2	12.5392861345463	12.2351551396726	12.2747855193251	11.964895066248	12.18803786664	12.462229806345	12.1243731619279	12.243328686479	12.3095744189623	12.2847686827382
ENSG00000163467	128229	TSACC	4.18805045359475	5.05735069542801	3.9721828720737	4.49416585644973	4.38013942655892	4.47304904276675	4.41275735888502	3.86513071389595	4.40744707303077	3.9792349078151
ENSG00000163468	7203	CCT3	10.2951685311844	10.0084914548616	9.7638611537837	10.1761164913132	9.37387206468972	10.165828512344	9.82855132989614	9.81308337694953	10.2729173636576	9.69260418394881
ENSG00000163472	84283	TMEM79	6.37666648917241	6.82161348511367	6.12627094475568	6.51147538476688	6.77109486461904	6.53824873847104	6.81248283000404	5.86940669409643	6.31975168366997	6.41509980372285
ENSG00000163479	6746	SSR2	12.5737722247063	12.0843567641259	11.8090367533284	11.9604377202018	11.8675103443648	12.511546095083	11.8210142328701	11.7226681418388	12.1841738215786	12.0728867739653
ENSG00000163481	64320	RNF25	7.10004197537782	6.72036227525339	6.86929674224902	7.03603687480844	6.80740604660027	7.33591105030964	6.72452933784382	6.97015571457421	7.59983239495561	6.92257198376759
ENSG00000163482	27148	STK36	7.0847649764062	6.47920488160844	5.63381804190695	6.3271828758784	6.70055664806074	6.78235349999088	6.42440186478114	5.79560717938118	6.55284182842392	6.34143863846018
ENSG00000163485	134	ADORA1	6.71013922662358	6.7803219412555	6.73721415308952	6.67519334082668	7.2674227242354	6.52662340783189	6.52846054198662	7.00556425746735	6.60300362745005	6.84146523732008
ENSG00000163491	152110	NEK10	4.16909702286742	3.79821026956431	3.83691656244063	4.01209589730214	4.13918595177195	4.04907820071739	4.03040869728585	4.06562727302324	3.79618779423739	3.87994367983701
ENSG00000163492	285025	CCDC141	2.70574156607864	2.60004347635307	2.83096141664671	2.81391628279242	2.73041611158152	2.6927298481674	2.90348514663441	3.02207522286278	2.55817285001177	2.7936612284373
ENSG00000163497	54738	FEV	6.68179689379743	6.65548313129626	6.49065836160369	6.60234092702695	6.82524643462806	6.58808198527474	6.31086492901773	6.73435634279454	6.38061716585308	6.65588080612429
ENSG00000163499	1412	CRYBA2	6.13744036347633	6.37181867196024	6.44009400940652	6.15558787210968	6.70198142803773	6.23698145371979	6.11891879178804	6.31427660919373	6.2663440507542	6.39420611145825
ENSG00000163501	3549	IHH	5.82120446719861	5.71574229119084	5.49312449939175	5.54662469391907	6.22376259589599	5.7860141646126	5.59875480697592	5.79864538470562	5.77514895149604	5.92949377811765
ENSG00000163507	57650	CIP2A	7.25530627511944	6.51263584015737	6.00454213262033	6.73018367184381	5.30780996219251	7.41785588797697	6.49146697473226	6.53383762983214	7.3091447859279	6.43252601138057
ENSG00000163508	8320	EOMES	5.75422344636383	5.68962979461136	5.82615945703467	5.79695538405843	5.84437802697134	5.86117468851809	5.51980281481153	6.25647146546704	5.6162694307741	6.09473360197493
ENSG00000163512	64343	AZI2	8.30024062456346	7.48874767797169	7.05859404968829	7.10914046404466	7.54949772246396	8.21590788938823	7.28963189780464	6.65653751792921	7.36596617775722	7.78565599390792
ENSG00000163513	7048	TGFBR2	10.3144026450014	9.77197877533965	9.15656208913888	9.40938856659714	9.80675215387909	10.4128209591696	9.898205298543	9.34012748307163	9.56481173208669	10.0245350143085
ENSG00000163515	84666	RETNLB	5.24327735787587	4.68586225193717	4.99801445455886	4.97500854463648	5.47327049257669	4.7762742149457	4.76460997641088	5.18881995595482	4.55271036350732	4.80283894242154
ENSG00000163516	55139	ANKZF1	7.41180151053508	6.94153058633444	7.30576147135747	6.7331255790236	6.95060716609608	7.00440565877064	6.94283210808147	7.03140532384071	6.85797375492532	6.5919053614838
ENSG00000163517	79885	HDAC11	6.78356918146877	7.61151036449377	6.15533424781761	6.38471138093819	7.5114329973287	6.81868167074739	7.65302065068021	6.1370003503362	6.61438829412834	7.14128756686762
ENSG00000163518	83417	FCRL4	3.14628067103524	2.9609034547431	3.26518120213031	2.76518951859343	3.36102017033483	3.01626174987495	2.83924237790474	3.08815117329831	3.17592961729256	3.00107151770295
ENSG00000163519	50852	TRAT1	2.22287093919939	2.24805697781412	2.50470721009387	2.29573821295898	2.51816065544531	2.3622400851871	2.36611468656005	2.37209973185105	2.14483158280345	1.91888356099074
ENSG00000163520	2199	FBLN2	8.99253307740699	8.82158455677308	8.85707049641494	8.96548238211324	9.29134631959288	8.99277010403175	8.93724803325516	9.32002578191265	8.91359814638112	8.91644890945609
ENSG00000163521	79411	GLB1L	5.57286739171859	5.55238619969256	5.77869399064274	5.58955260920389	6.22923614640018	5.49050363608655	5.3326319438565	5.7749234232743	5.56181709674257	6.07753662582095
ENSG00000163527	201595	STT3B	10.46647890758	10.7790693160156	9.54684006242766	9.64603446276925	10.3589899322425	10.4232497595507	10.5497007602878	9.63331947152106	9.97568697921055	10.477252515156
ENSG00000163528	131474	CHCHD4	5.6407498339287	5.99879058108142	5.93557999653399	5.68454629922542	6.1562281761466	5.84050089706297	5.64160627827593	6.14308447519578	6.09608376462008	5.43105879693767
ENSG00000163530	151871	DPPA2	2.63795019833573	3.00916574286165	2.95640518255065	2.58401027074168	2.71024414205697	2.48096109018843	2.9095301172501	3.26471389402588	2.63400230716937	2.82537653341713
ENSG00000163531	23114	NFASC	5.65420324238904	5.65619954983276	6.17530858524808	5.73186385483234	5.96924782726087	5.43230490063755	5.63119322503085	6.1268242450482	5.61436489084768	5.67553219888507
ENSG00000163534	115350	FCRL1	4.59745217022336	4.64839860702523	4.64547576132523	4.69957225943888	5.28661688998621	4.42600759026484	4.51588749304742	4.85717758317872	4.61108518918813	4.53604886344501
ENSG00000163535	151246	SGO2	7.40003694321118	7.11111336077995	6.70662186403496	7.23039281531735	6.81498097542671	7.68084316450422	7.08957680796266	7.44372769726181	7.64110133150271	7.94052043114555
ENSG00000163536	5274	SERPINI1	3.41003044987972	2.88748268850537	3.14945815017286	3.10913086379546	3.24953924428834	3.14534128250147	3.38768234997733	3.11539978591536	2.77340331128269	2.81907044219543
ENSG00000163539	23122	CLASP2	7.43385298390234	7.75674206101551	6.74892471878562	7.29016649175517	7.25315465711864	6.96880168605712	7.85484045872145	6.74540436872738	7.42233492521514	7.29389203571188
ENSG00000163541	8802	SUCLG1	9.19809602435005	8.60370739799158	8.99720398891552	8.93930902316183	8.38067627593224	9.21412624000293	8.37927473481413	8.72968672061381	9.02936354997814	8.32019493940326
ENSG00000163545	81788	NUAK2	7.79695424261821	8.52965437540683	8.08021377041406	7.67341961005685	8.38487497973402	7.59300589303332	8.68778305092187	7.99393253135621	8.06719955395457	7.7914333476137
ENSG00000163554	6708	SPTA1	3.76574107913485	3.70144554489727	3.64313565978077	3.77726589550384	4.13330753224851	3.71221161003297	3.62287070774691	4.05524788327665	3.61867178568095	3.68011984778332
ENSG00000163558	5584	PRKCI	8.86368530602282	8.95016365667874	8.87072861566988	8.78258141745995	8.84178296868483	8.95214603932907	8.74404794224231	9.08185909364176	8.73812602022094	8.81898349849284
ENSG00000163563	4332	MNDA	2.83206366533229	3.05695209571093	3.19644870824541	3.00785012696818	3.24063975721647	2.86333763226299	3.25828701991044	3.13970173644562	2.85895326929248	3.1055931229959
ENSG00000163564	149628	PYHIN1	4.62847837549862	4.08486701595971	4.51289293701288	4.33249532954383	4.30930021448391	4.30128951381184	3.93703983614184	4.11049996863995	4.0711870754595	4.32971986769086
ENSG00000163565	3428	IFI16	10.5018476309647	8.72014974879904	8.99715045234243	8.28082104486178	9.43030796196413	10.3519585141069	8.13486367755566	8.59055713518451	8.28162961460806	9.6962603160807
ENSG00000163568	9447	AIM2	7.55789123639467	6.77118379704902	5.84581112435437	6.76762443327315	5.81036335142887	7.26338210793488	6.6619538094365	5.54952960977762	6.86524636954259	5.74165731600888
ENSG00000163576	151651	EFHB	3.25513087679163	2.972631198305	3.47667971537595	3.17668671651017	3.36176104138896	2.82031167314163	3.31049324071311	3.48242970175768	3.01980224224682	3.09622876155307
ENSG00000163577	56648	EIF5A2	7.89494894235454	7.6745898177081	8.06759749629457	7.69197617234241	7.74502998658272	7.95551892910892	7.29030449921682	7.64104751031275	8.24244798274709	8.11590280792796
ENSG00000163581	6514	SLC2A2	3.11780298762776	2.95282954140886	3.03825051845399	2.92191901613002	3.42295602000226	3.18192964891768	2.96682321823933	3.48468711865674	2.93110285315509	3.03717906561676
ENSG00000163586	2168	FABP1	3.97262861675782	4.1085157508298	4.50416887613193	4.6709895259243	4.71831275063528	3.96898501229556	4.23271922345132	4.17764493698959	4.10527793570314	4.49631543607129
ENSG00000163590	151742	PPM1L	4.75262797687073	5.91356948289342	4.04592651599162	5.2532624827798	4.26446996208597	4.86778131009955	5.61291549815912	4.45644913674897	5.5654568438846	4.83434447080483
ENSG00000163596	130026	ICA1L	4.51451075288669	4.3572491192623	4.36626919693986	4.84932536880137	4.91305303369023	4.42950949636561	4.42252056390226	4.52986987654291	5.06429999071163	5.05076859116722
ENSG00000163599	1493	CTLA4	3.83769325683285	3.97077887345255	3.88492285816572	3.99733605598811	3.92264143328819	4.06717202862075	3.73711630922921	4.15045275898295	3.73953818306833	3.85804852034239
ENSG00000163600	29851	ICOS	2.59687309153826	2.39951443851717	3.33627180723524	2.80655043216209	2.80637176396848	2.53444134218764	2.83887075231875	3.35040226017609	2.89197678250198	2.94075998620651
ENSG00000163602	23429	RYBP	7.40739367750964	7.9904547416148	7.0726119665034	7.26763771094023	8.07638114363691	7.64622339381957	8.14938650466076	7.281703411888	7.4750790152544	8.28542707253059
ENSG00000163606	131450	CD200R1	2.59181702227774	2.6499900820386	2.98827912779842	2.75252249632633	3.08487981412748	2.58245069642802	2.84705012175138	2.92370075896551	2.72886522716341	2.52825451282577
ENSG00000163607	29083	GTPBP8	7.19386881778182	6.58924660325685	5.89324593976652	7.35165358067228	6.28057825015183	6.96771823611269	6.53913232828064	6.50334877599468	7.49524076000668	6.35407560243522
ENSG00000163608	25871	NEPRO	8.78381248369472	8.28396391820495	8.39413213001445	8.69424814868732	7.88667631359689	8.72175970913498	8.04281141987929	8.14036101764625	8.89592741552661	7.86473291157815
ENSG00000163611	152185	SPICE1	6.56419596595753	6.07258464944891	6.32222510728115	6.19686828369266	5.46173999157924	6.41509798030886	6.11879444400251	6.33113326614787	6.28611623526591	5.52803991624994
ENSG00000163617	57577	CCDC191	5.4738472691787	4.3617592398837	4.70097701206233	4.2215608226588	4.55933461157673	5.2507824966731	4.550310896244	4.61526661721997	4.46488603876651	4.57038929153513
