Ensembl	Entrez	Symbol	CCs_1	CCs_2	CCs_3	CSCs_1	CSCs_2	CSCs_3
ENSG00000205809	3822	KLRC2	3.26965154753049	3.26311578604363	3.28129807800663	3.17907354520935	3.17437400725019	3.059536431727
ENSG00000205937	10921	RNPS1	9.57978115686645	8.99124309145417	9.15852060325831	9.65255419905922	9.476307457967	9.40670271132296
ENSG00000206047	1667	DEFA1	3.59008061822489	3.89632633777382	3.61854665521807	3.96593445473756	4.24614183109331	3.83114836324311
ENSG00000206090	NA	NA	4.73429181687575	4.88036911389995	4.82642827964642	4.7737830010189	4.82642827964642	5.03836250885506
ENSG00000206337	10866	HCP5	4.86090669825099	4.54349624562311	3.67735599346299	4.69270784362668	5.85206973802337	5.74116889183012
ENSG00000206561	8292	COLQ	4.7807312136026	4.46808705375156	4.56034631404642	4.95149678897316	4.91728181697489	4.74089034180549
ENSG00000211445	2878	GPX3	3.54619347672543	3.89492478923726	3.74428129883665	3.49996140447861	3.67127948135718	3.49992168285227
ENSG00000211448	1734	DIO2	3.70131378732067	3.73127223343539	3.65678052879952	3.78787162930951	3.74056825136945	3.72203531461418
ENSG00000211452	1733	DIO1	3.2239447935225	3.17184033917676	3.4158942343667	3.24281625225926	3.27760879085972	3.33815313299326
ENSG00000211456	22908	SACM1L	6.85243801236	6.83823293327666	6.72840558341796	6.89449810673988	6.86446216628428	7.00315290704233
ENSG00000211460	7247	TSN	6.38573585789798	6.234758316665	6.65406008938562	6.01229199394459	6.49459103506033	6.23687061520304
ENSG00000213024	23636	NUP62	5.52668713862957	5.35632671843884	5.42240252235768	5.45822051909001	5.75103141833934	5.38821665419183
ENSG00000213036	NA	NA	8.64624377749245	9.29626171147726	9.50626196445844	8.1815981014886	9.17593455159292	9.17661610115953
ENSG00000213066	11116	FGFR1OP	5.44945468403121	5.38535765954801	5.81096849381034	4.36952119989087	4.81066891359425	5.28201795471191
ENSG00000213071	80350	LPAL2	3.18580892062432	3.25745361661541	3.34798923216338	3.3358537636879	3.39029582851701	3.37367910017093
ENSG00000213079	22828	SCAF8	8.04864595988976	7.85859332032346	7.74790076110664	8.55384070810094	8.20366017211025	8.00852428322793
ENSG00000213096	9534	ZNF254	3.5849709718728	3.56676075386274	3.94597338167421	3.70225942335126	3.67448853631358	3.65126383171385
