	M2.2.13.CCs_Hep3B	M2.2.13.CCs_Huh7	M2.2.13.CSCs_Hep3B	M2.2.13.CSCs_Huh7	M6.3.14.CCs_1	M6.3.14.CSCs_1	M8.2.3.CCs_1	M8.2.3.CCs_2	M8.2.3.CCs_3	M8.2.3.CSCs_1	M8.2.3.CSCs_2	M8.2.3.CSCs_3	M9.1.4.CCs_1	M9.1.4.CCs_2	M9.1.4.CCs_3	M9.1.4.CSCs_1_CXCR4+MET+CD44+	M9.1.4.CSCs_2_CXCR4+MET+CD44+	M9.1.4.CSCs_3_CXCR4+MET+CD44+	M13.2.11.CCs_UT33	M13.2.11.CSCs_UT33	R1.1.1.CCs_3	R1.1.1.CSCs_3	R4.10.2.CCs_3	R4.10.2.CSCs_3	R5.8.2.TN.CCs_HCC1937	R5.8.2.TN.CCs_SUM149PT	R5.8.2.TN.CSCs_HCC1937	R5.8.2.TN.CSCs_SUM149PT	R11.1.4.CCs_NCIH1703	R11.1.4.CSCs_NCIH1703	R12.5.4.CCs_2	R12.5.4.CCs_5	R12.5.4.CSCs_2	R12.5.4.CSCs_5
HMR_4363	588.8751488557863	603.5260876998053	999.9790148002763	999.9750374024343	646.9408296683528	579.6523804767695	999.9674197520441	999.9747279082856	999.9689722137048	999.9810204343873	845.1832179245479	906.470505783952	999.9674197520441	645.5994472134715	999.9750601024604	999.9674197520441	737.1244880030404	999.9674197520441	999.9674197520441	999.9674197520441	0.0	603.5311586863127	868.6552396622202	0.0	0.0	999.9792860666365	0.0	0.0	752.7130863812201	0.0	551.1764856823941	999.9752294014331	999.9674197520441	542.5477261629505
HMR_4365	-588.8751488557863	-603.5260876998053	-999.9790148002763	-999.9750374024343	-646.9408296683528	-579.6523804767695	-999.9674197520441	-999.9747279082856	-999.9689722137048	-999.9810204343873	-845.1832179245479	-906.470505783952	-999.9674197520441	-645.5994472134715	-999.9750601024604	-999.9674197520441	-737.1244880030404	-999.9674197520441	-999.9674197520441	-999.9674197520441	0.0	-603.5311586863127	-868.6552396622202	0.0	0.0	-999.9792860666365	0.0	0.0	-752.7130863812201	0.0	-551.1764856823941	-999.9752294014331	-999.9674197520441	-542.5477261629505
HMR_4368	588.9002516697851	603.5511905138042	999.9951837246535	999.9942708792472	646.9659324823516	579.6774832907684	999.9925225660429	999.9941998478032	999.9928788687191	999.9956440341217	845.2083207385467	906.4956085979509	999.9925225660429	645.6245500274704	999.9942760890892	999.9925225660429	737.1495908170392	999.9925225660429	999.9925225660429	999.9925225660429	0.0	603.5562615003115	868.680342476219	0.008075954506288644	9.211854751059263	999.9952459825067	4.5544818151377395	0.0	752.738189195219	259.30275310245815	551.2015884963929	999.9943149445912	999.9925225660429	0.0
HMR_4370	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.023876597304906787	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	542.5624238168665
HMR_4371	0.007477433957113865	0.007477433957113855	0.004816275346423786	0.005729120752789683	0.0074774339571138495	0.007477433957113846	0.007477433957113875	0.005800152196761863	0.00712113128085363	0.004355965878345326	0.007477433957113876	0.0074774339571138625	0.007477433957113852	0.0074774339571138685	0.005723910910719437	0.007477433957113006	0.0074774339571138685	0.0074774339571138625	0.007477433957113872	0.007477433957113851	0.007112177920610532	0.007477433957113859	0.007477433957113859	0.0024056034699583197	0.007477433957114408	0.004754017493263252	0.007182331821025345	0.017642341922855406	0.007477433957113852	0.005590972661938042	0.007477433957113856	0.005685055408792836	0.007477433957113865	0.004378024570695482
HMR_4372	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.013593279842200066	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4373	-588.9077291037422	-603.5586679477613	-1000.0	-1000.0	-646.9734099163087	-579.6849607247254	-1000.0	-1000.0	-1000.0	-1000.0	-845.2157981725038	-906.503086031908	-1000.0	-645.6320274614275	-1000.0	-1000.0	-737.1570682509963	-1000.0	-1000.0	-1000.0	-0.03098877522551732	-603.5637389342686	-868.6878199101761	-0.010481557976246964	-9.219332185016377	-1000.0	-4.561664146958765	-0.017642341922855406	-752.7456666291761	-259.3083440751201	-551.20906593035	-1000.0	-1000.0	-542.5668018414372
HMR_4375	-45.2367772022734	-2.1572398070932057	-399.9272557782816	-64.89709314893004	-74.26997367684028	0.047001013444715606	-500.7868695078753	-562.5286519368748	-565.0452027958435	-431.01997542329144	-370.13480505082214	-413.5802608798695	-84.7505921253541	-73.59928244940019	-176.88309496105052	-84.41341976319593	-301.4749797935695	-84.7209197070116	-417.6223621329274	-187.00830649399288	0.044705118358123346	0.04700101344471569	-2.157239807093207	-0.3529364125760097	0.04700101344471914	-53.62270532767342	0.045146085732159315	0.025451247364119273	0.04700101344471565	0.03514325673218198	-26.38836027288494	-47.39612982624535	-2.157239807093208	0.027519011587228744
HMR_4377	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HMR_4381	-45.56542822810273	0.0	2.9369883645564774	0.0	-65.25636559099742	-206.98301307633508	0.0	0.0	0.0	0.0	0.0	0.0	-417.14388420127995	-73.92722133866218	0.0	-417.48105656338157	-29.065676102122318	-417.1735566196229	0.0	0.0	4.3363715791843065	-218.92575366841336	-266.9194603264265	-0.4584393076156103	6.815504667871939	-265.46101088433977	0.0	19.35420811424632	0.0	0.0	0.0	-47.64546011345954	-2.485178696355202	-504.75163251654067
