	fastcore_M12.3.16.CCs_4	fastcore_M12.3.16.CSCs_2	fastcore_M4.2.10.CSCs_3	fastcore_M4.2.7.CCs_1	fastcore_M4.2.7.CCs_2	fastcore_M4.2.7.CSCs_1	fastcore_M4.2.7.CSCs_2
HMR_3123	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3125	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3128	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3129	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3130	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3132	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3135	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3136	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3137	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3139	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3142	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
HMR_3143	(0.0, 1000.0)	(0, 0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3144	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)
HMR_3146	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)
HMR_3149	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0, 0)
HMR_3150	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3151	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3153	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3156	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3157	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3158	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3160	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3163	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3164	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3166	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3170	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3171	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3172	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3173	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3174	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3175	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3176	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3177	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3178	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3179	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3180	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3181	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3182	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3183	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3184	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3185	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3186	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3187	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3188	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3189	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3190	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3191	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3192	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3193	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3194	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3195	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3196	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3197	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3198	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3199	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3200	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3201	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3202	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3203	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3204	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3205	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3206	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)
HMR_3208	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)
HMR_3211	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)
HMR_3212	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3213	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)
HMR_3215	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3218	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3219	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3220	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3221	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3222	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3223	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3224	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3225	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3226	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3227	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3228	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3229	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)
HMR_3230	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3231	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3232	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3233	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3234	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3235	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3236	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3237	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3239	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
HMR_3240	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3241	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3242	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3243	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3244	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3245	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3246	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3247	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3250	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3252	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3254	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3256	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3258	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3260	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3262	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3264	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3272	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
HMR_3275	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3277	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3278	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3279	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3280	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3281	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3282	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3283	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3284	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3285	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3286	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3287	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3288	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3290	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3292	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3293	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3294	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3296	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3298	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
HMR_3301	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3302	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3304	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3305	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3306	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3307	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3309	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3310	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3311	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3312	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3314	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3315	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3316	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3317	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3319	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3320	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3321	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3322	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3323	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)	(-1000.0, 1000.0)
HMR_3326	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3327	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3328	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3329	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
HMR_3330	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3331	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3332	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3333	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3334	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3335	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3336	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3337	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0, 0)	(0.0, 1000.0)
HMR_3338	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)	(0.0, 1000.0)
